Continent,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Asia,Bangladesh,BGD,,,,,,,,,,,0.2478,0.2478,0.2478,0.2328,0.4961,0.6219,0.6566,0.641,0.6664,0.8548,0.9926,0.8305,0.9817,1.1021,1.0751,1.3486,1.3218,1.4181,1.5037,1.6427,1.6679,1.8465,2.1243,2.1802,2.2268,2.6853,2.9557,3.3399,3.4176,3.1199,3.0457,3.8193,3.8811,3.9626,4.578,5.0967,5.3132,5.4236,6.069,6.3944,7.3939,8.6172,8.7005,8.2603,8.9215,9.358,9.928,11.0668,12.1054,11.7676,10.4308,11.6004,13.26,11.649
North America,Barbados,BRB,,,,,,,,,,,0.0177,0.0177,0.0143,0.0158,0.0184,0.0242,0.0259,0.0267,0.0279,0.0242,0.0347,0.0376,0.04,0.0448,0.0471,0.0528,0.0595,0.0608,0.0574,0.0685,0.143,0.15,0.157,0.1527,0.15,0.1532,0.1498,0.1831,0.196,0.2087,0.1518,0.1461,0.1498,0.1535,0.1498,0.1585,0.1765,0.1775,0.2265,0.238,0.2595,0.1996,0.1894,0.2212,0.2092,0.2273,0.2418,0.2127,0.2312,0.2744,0.2044,0.2268,0.2326,0.2478
Europe,Belarus,BLR,,,,,,,,,,,8.7915,8.7915,9.1393,9.4388,9.8102,10.368,10.5445,10.5188,10.5285,10.5657,10.7663,10.8239,10.853,10.6962,10.6861,10.7179,11.1461,11.3763,11.4363,11.6847,11.4763,12.2504,11.3167,9.4631,6.7276,6.677,7.2472,7.6084,8.0436,7.0901,6.4536,6.12,6.6061,6.8204,6.9842,7.7742,9.1332,9.2925,10.5498,9.6488,10.2359,10.8728,11.6709,12.1818,11.591,10.3846,10.7984,11.2574,11.84,11.802,10.614,10.3895,9.6305,9.682
Europe,Belgium,BEL,,,,,,,,,,,11.4132,11.8307,12.647,12.9493,12.5614,13.4313,14.2746,14.9769,15.3768,16.2809,15.8538,15.4442,15.6412,15.9917,16.0211,16.4206,17.9117,18.4592,19.9486,20.3935,20.2056,20.3902,21.2032,21.7311,22.31,22.4591,22.9016,23.2436,23.9675,24.1909,24.4814,25.2982,25.2399,25.8828,26.9682,26.1874,26.5977,27.4288,27.5027,26.6936,25.8688,25.4717,24.7092,24.2182,24.4465,26.0926,25.7912,25.2002,25.2817,24.9597,20.7636,22.9232,23.1126,21.9509
North America,Belize,BLZ,,,,,,,,,,,0.0042,0.0042,0.0034,0.0038,0.0044,0.0058,0.0062,0.0064,0.0067,0.0058,0.0083,0.0081,0.0079,0.0084,0.0098,0.0099,0.0133,0.0116,0.0089,0.0142,0.038,0.0449,0.038,0.0379,0.0371,0.0423,0.0353,0.064,0.0663,0.0706,0.0508,0.0504,0.0482,0.0496,0.045,0.0506,0.0591,0.0569,0.0563,0.0693,0.0852,0.0529,0.0563,0.0718,0.0731,0.0898,0.0932,0.1022,0.0879,0.0989,0.0737,0.0818,0.0882,0.095
Africa,Benin,BEN,,,,,,,,,,,0.2513,0.2513,0.3245,0.318,0.3269,0.3558,0.1798,0.231,0.2689,0.2659,0.2596,0.1837,0.241,0.2318,0.2845,0.3595,0.3245,0.2781,0.2713,0.1933,0.1652,0.1305,0.1177,0.1177,0.1209,0.1209,0.4971,0.6799,0.7496,0.8466,0.9183,0.9873,1.175,1.3688,1.4004,1.5427,1.9615,2.4321,2.4499,2.8124,3.1702,3.2843,3.4174,3.8439,4.0673,4.5772,5.8019,5.9905,6.7484,5.9106,6.1707,4.239,4.4149,4.2779
Asia,Bhutan,BTN,,,,,,,,,,,0.0007,0.0007,0.0008,0.0007,0.0007,0.0008,0.0007,0.0008,0.0009,0.0009,0.001,0.0099,0.0101,0.01,0.0098,0.0107,0.0089,0.012,0.012,0.0112,0.0374,0.0386,0.0422,0.0421,0.0528,0.0573,0.0595,0.062,0.0657,0.0639,0.0614,0.0684,0.068,0.0711,0.0694,0.0826,0.0879,0.0898,0.1001,0.1186,0.173,0.2094,0.2357,0.2345,0.2065,0.2437,0.2495,0.2978,0.3314,0.345,0.359,0.3861,0.4104,0.4276
South America,Bolivia,BOL,,,,,,,,,,,1.0026,1.0026,1.0782,1.1635,1.2769,1.5362,1.6952,1.9487,2.1898,2.2045,2.1481,2.0569,1.6889,1.7907,1.747,1.7656,1.7703,2.0129,2.0355,2.1692,2.257,2.3725,2.3416,2.7042,2.8113,3.1262,3.2421,3.074,3.1728,3.1763,2.6404,2.6471,2.7248,2.9238,3.2264,3.4527,3.9922,4.5138,5.087,5.5386,6.0736,6.7341,7.3173,8.1181,8.8102,9.1686,9.6586,10.3083,10.7137,10.8391,8.7469,11.1754,11.5908,11.9119
Europe,Bosnia and Herzegovina,BIH,,,,,,,,,,,1.819,1.819,1.7514,1.8247,2.0752,2.0245,2.0677,2.2296,2.3765,2.4492,2.2389,2.1859,2.0226,2.0949,1.948,2.2625,2.7981,2.4717,2.7104,2.5005,2.1911,1.8618,1.0625,0.8483,0.9662,0.9943,1.0254,1.0566,1.3985,1.3412,2.0899,2.129,2.0422,2.0556,2.3916,2.3044,2.8848,3.048,3.3804,3.491,3.4032,3.4068,3.1897,2.8176,2.9806,3.1064,3.62,3.7762,3.752,4.0147,3.6363,4.1802,4.3349,4.4
Africa,Botswana,BWA,,,,,,,,,,,0.0634,0.0634,0.0761,0.0889,0.1046,0.114,0.1297,0.1454,0.1676,0.1897,0.2274,0.2493,0.2713,0.2995,0.3182,0.3304,0.3839,0.4211,0.4556,0.5312,0.6479,0.7073,0.8108,0.7968,0.768,0.8881,0.8973,0.9668,1.0356,1.127,1.2188,1.3081,1.2456,1.3371,1.4642,1.4958,1.5837,1.7157,1.984,1.7845,1.8894,1.9813,2.0621,2.1492,2.2282,2.3091,2.2622,2.3003,2.4587,2.3582,2.1312,2.1557,2.3214,2.3938
