Continent,Country Name,Country Code,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North America,Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0372575505226,2.79239887267904,13.4861321680193,14.1156863405273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95199913081269,3.9519978503682,3.95199796551814,3.94772163098778,3.94772071282501,3.94772123836775,3.94772054188423,3.94772165164536,3.94772058258889,3.94772098242114,3.94772121239056,3.94772120170866,3.94772164410337,3.94772089032191,3.9477212262196,3.94772134817677,3.9477217765153,3.93001312268082,4.99881195313992,3.87242778653485,4.70196626849294,3.68503031436861,5.45072975617254,5.3182743252002,3.21311879531046,,
South America,Bolivia,BOL,,,,,,,,5.65371024734982,6.02782071097372,5.85885486018642,5.51440329218107,4.9141503848431,4.60058552906734,5.44554455445545,5.27077903272517,5.22372949989876,5.54266211604096,3.16129883843717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38695110754471,,2.91895851711242,,,,,4.37260916648467,,,,,
South America,Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60001272724163,2.37734212813976,2.63039580978125,2.60716489670014,2.39500999187097,2.41054144955147,2.37365055997863,2.48486300364061,2.73929721352673,2.87892758777436,3.13823585050146,3.09689677429166,2.91331100526411,3.11706853353584,2.4551017350057,
North America,Barbados,BRB,,,,,,,,6.54079813743679,7.01143265451947,10.7027934524087,9.65985609296241,7.75397264605898,8.24499602279184,7.73907013117318,8.87630465631341,9.5258002191917,10.2997789791535,8.40097440768992,5.30922868387961,9.1329928620494,10.4950100891042,9.84960176059214,9.83083395309083,10.4229855869836,10.2221233392966,13.2805374967578,10.6946136727522,14.1462106392377,28.2480786474989,30.646739899109,32.5569109419426,29.4339272755154,29.0738814430666,30.3549077003757,30.3549051447818,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8616507929196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96790887352334,9.23004052027748,9.01400970835233,9.83201241629946,9.91819260301257,10.0995505778947,10.780653985216,11.1128888807357,
Africa,Central African Republic,CAF,,,,,,,,,,,3.00175284837862,2.60186548846343,3.50912778904665,2.86334913112164,6.81173131504257,9.85942991019133,,10.5657401931796,9.08026755852843,11.6747741487144,4.7687269750307,,6.02764094143404,9.67353330923985,6.79436977457932,5.26487102286598,5.93161200279135,6.36724066512811,7.87713648749071,10.497888637926,9.2459911293074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Canada,CAN,7.22049689440994,7.1578947368421,6.97526949904883,7.01449275362319,7.05341312056738,7.02150592824514,6.95875087392216,6.96751913384357,6.82651257061538,6.44987492784299,6.42225689027561,6.84938783098292,6.88362715194127,6.6792009400705,6.70854163996069,6.92760014700478,7.4160447761194,7.66700042912316,,,,,,,,,,,,,,,,,,,,,,,,1.86627314296862,2.18937734078477,2.80292406615178,2.21736586233934,2.20425126987383,2.63720792327777,2.30561437441384,2.01656271804075,2.36158337472726,2.31481458358113,2.76253300013216,2.62010921493666,2.60972143236787,2.68593161064313,2.6877316449204,2.94287050445562,3.4672540515992,2.58302231645148,2.53180535769437
Europe,Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6981902193832,18.1044661827389,16.8266658929631,18.9876904377431,19.1043432401448,18.8008525571267,21.9018433161269,22.2883874845266,22.0898563189469,23.2976598598897,23.5511506046039,27.1187457765973,29.1476355865707,
